file1	file2	avg	std
dnase_wt_l1_rep1_2.5U_ml.read1.fastq.gz	dnase_wt_l1_rep1_2.5U_ml.read2.fastq.gz	151	35
dnase_wt_l1_rep1_5U_ml.read1.fastq.gz	dnase_wt_l1_rep1_5U_ml.read2.fastq.gz	150	30
dnase_wt_l1_rep1_10U_ml.read1.fastq.gz	dnase_wt_l1_rep1_10U_ml.read2.fastq.gz	134	31
dnase_wt_l1_rep1_25U_ml.read1.fastq.gz	dnase_wt_l1_rep1_25U_ml.read2.fastq.gz	130	37
dnase_wt_l1_rep1_50U_ml.read1.fastq.gz	dnase_wt_l1_rep1_50U_ml.read2.fastq.gz	141	35
dnase_wt_l1_rep1_100U_ml.read1.fastq.gz	dnase_wt_l1_rep1_100U_ml.read2.fastq.gz	146	33
dnase_wt_l1_rep1_200U_ml.read1.fastq.gz	dnase_wt_l1_rep1_200U_ml.read2.fastq.gz	133	31
dnase_wt_l1_rep1_400U_ml.read1.fastq.gz	dnase_wt_l1_rep1_400U_ml.read2.fastq.gz	140	32
dnase_wt_l1_rep1_800U_ml.read1.fastq.gz	dnase_wt_l1_rep1_800U_ml.read2.fastq.gz	130	33
dnase_wt_l1_rep2_2.5U_ml.read1.fastq.gz	dnase_wt_l1_rep2_2.5U_ml.read2.fastq.gz	138	48
dnase_wt_l1_rep2_5U_ml.read1.fastq.gz	dnase_wt_l1_rep2_5U_ml.read2.fastq.gz	132	48
dnase_wt_l1_rep2_10U_ml.read1.fastq.gz	dnase_wt_l1_rep2_10U_ml.read2.fastq.gz	132	48
dnase_wt_l1_rep2_25U_ml.read1.fastq.gz	dnase_wt_l1_rep2_25U_ml.read2.fastq.gz	128	49
dnase_wt_l1_rep2_50U_ml.read1.fastq.gz	dnase_wt_l1_rep2_50U_ml.read2.fastq.gz	123	50
dnase_wt_l1_rep2_100U_ml.read1.fastq.gz	dnase_wt_l1_rep2_100U_ml.read2.fastq.gz	123	52
dnase_wt_l1_rep2_200U_ml.read1.fastq.gz	dnase_wt_l1_rep2_200U_ml.read2.fastq.gz	125	50
dnase_wt_l1_rep2_400U_ml.read1.fastq.gz	dnase_wt_l1_rep2_400U_ml.read2.fastq.gz	113	43
dnase_wt_l1_rep2_800U_ml.read1.fastq.gz	dnase_wt_l1_rep2_800U_ml.read2.fastq.gz	106	39
dnase_wt_l2_rep1_2.5U_ml.read1.fastq.gz	dnase_wt_l2_rep1_2.5U_ml.read2.fastq.gz	111	45
dnase_wt_l2_rep1_5U_ml.read1.fastq.gz	dnase_wt_l2_rep1_5U_ml.read2.fastq.gz	110	45
dnase_wt_l2_rep1_10U_ml.read1.fastq.gz	dnase_wt_l2_rep1_10U_ml.read2.fastq.gz	111	49
dnase_wt_l2_rep1_25U_ml.read1.fastq.gz	dnase_wt_l2_rep1_25U_ml.read2.fastq.gz	115	51
dnase_wt_l2_rep1_50U_ml.read1.fastq.gz	dnase_wt_l2_rep1_50U_ml.read2.fastq.gz	110	46
dnase_wt_l2_rep1_100U_ml.read1.fastq.gz	dnase_wt_l2_rep1_100U_ml.read2.fastq.gz	114	49
dnase_wt_l2_rep1_200U_ml.read1.fastq.gz	dnase_wt_l2_rep1_200U_ml.read2.fastq.gz	109	42
dnase_wt_l2_rep1_400U_ml.read1.fastq.gz	dnase_wt_l2_rep1_400U_ml.read2.fastq.gz	98	29
dnase_wt_l2_rep1_800U_ml.read1.fastq.gz	dnase_wt_l2_rep1_800U_ml.read2.fastq.gz	92	27
dnase_wt_l2_rep2_2.5U_ml.read1.fastq.gz	dnase_wt_l2_rep2_2.5U_ml.read2.fastq.gz	120	48
dnase_wt_l2_rep2_5U_ml.read1.fastq.gz	dnase_wt_l2_rep2_5U_ml.read2.fastq.gz	115	47
dnase_wt_l2_rep2_10U_ml.read1.fastq.gz	dnase_wt_l2_rep2_10U_ml.read2.fastq.gz	108	44
dnase_wt_l2_rep2_25U_ml.read1.fastq.gz	dnase_wt_l2_rep2_25U_ml.read2.fastq.gz	112	49
