factor	dataset_name	dataset_id
RNT-1	RNT-1-eGFP-L1,RNT-1-eGFP-LE	ENCFF382SJA,ENCFF470JFZ
RPC-1	RPC-1-eGFP-YA,RPC-1-YA	ENCFF912BFS,ENCFF804QRJ
SDC-2	SDC-2-eGFP-LE	ENCFF656VMA
SDZ-38	SDZ-38-eGFP-YA	ENCFF238SRF
SEM-4	SEM-4-eGFP-L2	ENCFF402MXE
SKN-1	SKN-1-eGFP-L2,SKN-1-eGFP-L3	ENCFF948HZJ,ENCFF603VXR
SMA-3	SMA-3-eGFP-L2	ENCFF589SZR
SMA-9	SMA-9-eGFP-L2	ENCFF081ECT
SNPC-1.1	SNPC-1.1-eGFP-YA	ENCFF273WIR
SNPC-3.4	SNPC-3.4-eGFP-YA	ENCFF442STG
SNPC-4	SNPC-4-eGFP-L3,SNPC-4-eGFP-YA,SNPC-4-eGFP-YA,SNPC-4-eGFP-YA,SNPC-4-eGFP-YA	ENCFF796FKW,ENCFF078BGK,ENCFF325ITY,ENCFF521ZWB,ENCFF626SVQ
SNU-23	SNU-23-eGFP-L1	ENCFF332DPX
SPR-1	SPR-1-eGFP-L4	ENCFF965SNZ
SPTF-1	SPTF-1-eGFP-MxE	ENCFF312AGS
SWSN-7	SWSN-7-eGFP-L1	ENCFF249BZG
SYD-9	SYD-9-eGFP-LE	ENCFF585BNU
T07F8.4	T07F8.4-eGFP-YA	ENCFF596QOM
T26A5.8	T26A5.8-eGFP-YA	ENCFF204QJK
TBX-2	TBX-2-eGFP-L3,TBX-2-eGFP-LE	ENCFF390KMX,ENCFF757HVS
TBX-7	TBX-7-eGFP-LE	ENCFF645RRB
TRA-4	TRA-4-eGFP-EE	ENCFF454LQY
TTX-3	TTX-3-eGFP-LE	ENCFF243SNZ
UNC-130	UNC-130-eGFP-L1,UNC-130-eGFP-L4,UNC-130-eGFP-YA	ENCFF659DUK,ENCFF697LUE,ENCFF865NFV
UNC-30	UNC-30-eGFP-L1	ENCFF891XPR
UNC-39	UNC-39-eGFP-L3,UNC-39-eGFP-L4	ENCFF148YMB,ENCFF803HYP
UNC-3	UNC-3-eGFP-LE	ENCFF205XBU
UNC-42	UNC-42-eGFP-LE	ENCFF659BNP
UNC-55	UNC-55-eGFP-L2,UNC-55-eGFP-LE	ENCFF346FAK,ENCFF412WHA
UNC-62	UNC-62-eGFP-L4,UNC-62-eGFP-L4	ENCFF500ZSJ,ENCFF601RFU
UNC-86	UNC-86-eGFP-L1,UNC-86-eGFP-LE	ENCFF944TCZ,ENCFF909HAF
VAB-15	VAB-15-eGFP-L1	ENCFF602ZRU
XBP-1	XBP-1-eGFP-L1	ENCFF837SKE
XND-1	XND-1-eGFP-YA	ENCFF750YZY
Y22D7AL.16	Y22D7AL.16-eGFP-LE	ENCFF409ZPA
ZFP-2	ZFP-2-eGFP-L4	ENCFF508NPR
ZIP-5	ZIP-5-eGFP-LE	ENCFF102PIO
ZIP-8	ZIP-8-eGFP-MxE	ENCFF921GJK
ZK546.5	ZK546.5-eGFP-L2,ZK546.5-eGFP-L3,ZK546.5-eGFP-L4,ZK546.5-eGFP-L4	ENCFF856SFI,ENCFF898CRF,ENCFF905WSC,ENCFF941JDH
ZTF-11	ZTF-11-eGFP-L1,ZTF-11-eGFP-L1,ZTF-11-eGFP-L2	ENCFF524IBO,ENCFF943JME,ENCFF523THQ
ZTF-16	ZTF-16-eGFP-LE	ENCFF341MDZ
ZTF-18	ZTF-18-eGFP-YA	ENCFF606EQF
ZTF-26	ZTF-26-eGFP-YA	ENCFF511GGW
ZTF-4	ZTF-4-eGFP-L1,ZTF-4-eGFP-L1,ZTF-4-eGFP-L2	ENCFF583RBS,ENCFF911SGY,ENCFF906SRJ
ZTF-7	ZTF-7-eGFP-L4	ENCFF696IVC
